17,243,316
17,143,385
24,238,362
17,147,315
10,29,389
6,36,303
6,88,150
9,54,125
7,145,138
6,336,150
3,219,301
3,337,305
5,333,217
6,147,270
7,139,207
8,218,180
9,64,273
8,107,180
9,231,153
4,182,217
6,315,188
9,226,311
9,104,349
10,109,330
12,91,316
11,108,333
10,80,328
11,342,162
14,180,290
9,72,335
8,147,330
11,151,193
12,71,311
11,141,233
10,116,167
7,61,257
10,74,143
7,120,163
13,251,283
13,141,327
14,147,353
15,256,306
11,328,207
14,241,250
18,184,328
19,167,328
24,190,321
24,108,327
13,140,348
13,300,328
14,174,318
15,158,187
15,141,290
13,176,210
14,180,237
15,162,315
17,132,333
18,149,277
20,206,267
20,187,338
15,97,318
17,90,305
18,86,304
19,40,308
19,222,293
20,141,308
15,97,133
17,155,237
20,92,319
20,124,326
22,129,318
19,126,312
19,222,300
15,221,287
20,69,325
19,126,297
18,201,263
24,206,354
18,40,315
15,77,170
17,43,257
16,72,302
20,147,310
19,123,314
20,123,309
20,125,197
17,135,175
20,272,301
18,310,310
23,244,325
23,173,323
26,177,336
30,198,332
18,93,263
19,210,305
19,74,220
20,144,250
24,169,297
25,156,327
20,113,308
19,121,302
23,223,237
25,219,335
23,150,319
28,248,321
26,173,322
25,137,315
21,116,312
19,60,213
23,116,304
25,234,325
27,146,333
26,155,316
25,134,180
25,147,177
29,223,310
30,186,342
32,228,352
35,217,338
32,155,315
31,169,329
26,142,305
25,152,173
27,281,293
23,299,303
25,244,324
27,105,300
28,117,304
30,122,312
27,115,287
26,109,207
28,73,180
28,69,183
29,95,308
31,187,331
34,162,336
29,121,308
26,116,150
26,220,293
26,76,180
27,126,250
27,133,193
23,39,213
24,85,138
23,135,210
28,165,297
24,127,162
25,73,150
24,48,188
29,204,316
30,181,333
24,169,314
26,123,260
29,235,287
30,235,322
28,101,247
27,165,188
28,291,305
29,176,267
29,48,138
31,342,188
33,222,315
31,179,337
34,187,313
25,232,223
29,157,315
24,107,183
30,136,301
31,156,112
31,147,125
30,148,125
33,137,125
32,141,138
32,146,125
31,131,112
31,132,150
29,186,175
31,54,331
31,156,290
31,150,240
32,140,210
32,130,150
31,70,125
27,147,125
28,295,162
33,245,306
34,157,319
33,135,207
32,146,125
31,130,125
29,87,125
30,114,188
29,273,305
29,62,183
26,84,150
30,106,247
29,182,150
27,192,153
28,90,217
25,239,175
26,228,190
22,30,150
23,135,175
28,193,300
29,127,217
31,160,260
32,195,309
29,205,287
28,74,290
24,91,227
30,105,230
27,107,223
28,148,125
28,107,138
30,262,190
31,241,247
25,281,214
28,223,337
28,113,326
29,73,253
29,78,170
28,88,217
28,95,180
27,69,250
27,84,138
26,144,138
27,120,125
27,81,162
27,67,138
26,78,138
27,76,138
22,47,162
19,298,217
25,160,273
25,53,138
24,51,138
25,152,188
26,197,177
26,53,301
27,120,315
27,120,240
27,126,162
29,263,263
22,137,138
24,170,214
26,232,290
24,15,302
24,104,162
25,266,200
23,221,253
23,125,193
23,52,147
23,46,175
24,30,207
25,28,230
24,261,197
20,323,207
19,323,301
21,277,336
24,126,335
23,108,125
23,116,125
25,150,150
28,178,305
28,272,312
23,220,303
23,89,250
23,146,197
24,143,180
21,23,312
21,67,302
20,114,138
21,210,170
23,278,297
21,313,306
19,326,323
17,218,314
19,100,243
21,142,257
21,216,233
18,38,348
15,18,273
17,66,183
18,32,257
19,187,326
19,241,312
14,266,353
16,70,230
17,105,305
17,198,260
15,302,324
15,139,353
16,85,325
18,141,247
21,157,230
22,165,257
22,134,323
20,178,257
13,137,203
16,208,217
19,141,307
16,228,188
17,105,317
16,301,287
9,329,273
7,320,313
11,164,290
7,316,323
7,315,338
9,231,328
13,232,332
10,260,321
11,63,345
13,239,227
9,329,305
8,311,331
8,325,332
10,161,332
13,243,335
5,315,332
6,320,322
8,145,311
11,232,322
9,296,318
6,317,312
8,267,321
12,187,329
13,241,316
9,18,355
9,41,220
10,38,187
10,248,183
13,264,311
5,324,314
8,245,305
12,153,333
16,158,341
18,219,352
9,217,329
7,330,321
8,329,270
11,290,328
13,271,365
15,202,378
9,52,396
9,59,153
9,295,147
10,289,175
9,300,332
7,113,348
11,190,324
11,180,321
12,123,334
15,267,243
8,316,340
9,159,355
16,147,347
14,250,345
12,189,352
7,14,347
6,23,304
6,106,160
6,296,162
5,137,325
7,162,267
8,40,167
7,258,207
9,308,293
6,334,384
8,206,344
11,190,331
6,140,345
5,178,277
8,187,230
15,243,320
14,262,329
13,109,378
18,153,308
19,222,313
14,276,317
13,65,345
12,41,352
11,67,318
13,145,153
11,297,175
9,180,308
9,65,351
10,87,314
11,76,305
11,80,177
7,72,305
7,155,167
10,311,175
11,167,325
15,210,344
7,66,329
6,85,160
8,80,150
10,49,203
10,161,240
12,211,193
7,126,263
13,143,162
15,151,302
12,191,327
14,177,336
14,170,342
15,146,315
17,150,213
16,143,240
15,154,308
15,57,327
19,256,324
20,134,336
15,78,309
14,75,163
14,100,125
15,107,133
12,46,163
19,198,197
23,157,333
15,141,260
28,175,312
28,102,304
31,217,227
16,131,322
19,177,305
19,90,312
14,63,113
9,134,163
12,110,203
15,94,173
17,129,300
18,86,297
19,162,312
11,280,305
19,156,322
21,156,327
24,153,325
19,116,220
26,180,317
25,190,348
18,340,302
21,159,260
24,190,327
25,146,324
22,161,314
27,131,322
26,146,308
25,154,305
22,191,328
20,236,302
26,190,323
25,124,293
26,192,306
25,258,314
25,115,319
23,122,147
25,133,263
26,129,307
25,133,203
22,141,170
22,121,250
25,225,193
26,251,306
29,185,301
26,187,307
27,208,283
24,61,302
24,131,280
22,155,305
28,143,329
27,36,301
24,86,143
25,127,203
23,105,240
25,90,257
27,112,203
27,123,187
27,133,283
26,68,230
26,123,170
25,184,243
26,128,301
28,138,311
30,173,207
25,29,125
26,123,163
28,243,312
30,151,313
26,131,163
24,159,162
26,183,297
29,154,183
30,240,306
34,210,319
32,211,314
31,207,233
26,112,253
25,92,183
29,167,138
24,52,138
27,119,280
28,140,230
27,145,287
27,132,162
30,106,306
31,130,306
34,233,280
27,200,227
25,93,150
24,91,150
28,138,230
34,272,311
26,146,223
27,118,308
28,96,327
22,90,301
21,94,157
20,48,133
24,102,138
25,66,160
27,42,177
29,44,143
24,73,125
29,281,162
33,214,318
32,125,325
30,105,170
29,107,160
28,121,203
29,130,143
30,83,125
30,93,127
31,94,240
31,152,220
32,200,210
31,192,227
33,178,301
35,206,318
35,217,297
36,226,302
36,200,293
34,196,210
35,192,247
36,182,306
36,172,301
36,171,267
37,177,263
36,155,233
32,137,130
32,90,125
31,86,138
29,101,138
27,134,138
28,251,162
30,202,180
30,137,302
31,120,223
30,95,162
29,51,197
31,68,267
30,97,297
31,108,162
31,236,227
28,171,162
26,82,150
26,42,150
27,103,162
30,315,210
29,252,280
30,182,335
29,121,332
30,79,325
29,99,315
29,103,257
29,128,280
29,189,313
30,236,323
29,156,325
28,108,247
28,132,203
28,108,138
28,53,138
28,38,125
28,176,138
29,124,162
22,317,280
26,107,193
26,99,150
23,248,138
26,132,138
27,141,153
27,150,193
27,188,138
27,161,237
27,75,223
27,134,187
27,277,197
27,115,138
24,59,163
27,31,193
27,29,170
26,50,160
24,73,150
29,145,162
23,283,177
24,219,200
27,134,230
25,96,163
21,68,143
23,94,138
24,125,125
21,136,188
24,306,319
24,291,280
22,226,250
23,285,337
24,199,341
24,111,337
25,122,180
25,88,247
25,68,187
24,69,260
24,69,253
24,80,233
25,70,263
26,69,331
25,78,297
22,110,293
26,154,290
21,322,287
20,96,326
17,40,322
19,101,263
18,104,207
14,308,162
18,239,237
20,101,346
19,131,334
24,139,240
26,146,253
25,257,188
18,313,300
15,328,333
16,134,334
18,81,310
17,88,243
17,265,319
18,303,318
20,116,351
21,179,345
17,34,324
17,99,210
14,22,180
15,31,223
17,74,293
19,79,214
17,165,200
14,75,227
8,312,160
5,306,220
6,213,320
14,180,300
13,158,324
16,91,329
17,113,348
13,295,312
13,298,326
10,327,314
7,260,305
11,294,325
13,144,341
14,69,320
16,92,217
13,305,263
11,299,273
12,196,317
10,213,309
9,300,320
10,310,365
7,319,417
5,320,322
3,309,304
11,195,313
11,189,260
9,151,293
16,179,359
12,204,336
10,107,395
11,293,314
13,210,379
11,64,343
8,307,320
9,214,267
12,244,319
10,227,327
12,132,365
8,177,358
12,114,314
12,105,320
17,123,273
17,124,290
19,177,270
16,49,334
17,56,280
15,76,315
12,112,316
14,26,283
11,178,253
14,181,163
15,256,247
17,285,341
19,196,335
23,191,325
20,205,328
16,98,310
20,145,336
20,141,319
16,275,315
18,97,193
18,115,167
21,161,227
18,243,315
21,120,301
22,133,283
21,85,326
20,86,300
18,132,306
17,173,333
19,156,347
21,156,319
19,121,207
20,138,309
21,134,177
20,151,190
19,188,162
23,264,283
25,175,335
16,83,287
20,70,305
16,92,302
18,86,290
17,305,306
23,240,338
26,218,348
26,160,320
27,159,309
26,170,250
25,281,237
28,164,304
25,176,247
30,202,316
20,75,323
17,67,200
20,57,306
18,291,188
26,200,332
26,149,312
20,89,328
23,133,243
24,267,213
23,172,287
24,150,187
24,120,230
24,159,303
25,139,187
25,132,150
